Age,Hours_Worked_Per_Week,Mental_Health_Condition,gender,industry,Location,sleep_Quality,stress_Level,access_to_Mental_Health_Resource,physical_Activity,region
32-42,47,ill,Other,Healthcare,Hybrid,Good,Medium,No,Weekly,Europe
32-42,52,ill,Female,IT,Remote,Good,Medium,No,Weekly,Asia
>42,46,ill,Other,Education,Hybrid,Poor,Medium,No,Not At All,North America
22-32,32,ill,Male,Finance,Onsite,Poor,High,Yes,Not At All,Europe
>42,35,fit,Male,Consulting,Onsite,Average,High,Yes,Weekly,North America
>42,39,fit,Other,IT,Hybrid,Average,High,No,Not At All,South America
22-32,51,ill,Other,IT,Remote,Poor,Low,Yes,Daily,Asia
>42,54,ill,Other,Manufacturing,Onsite,Average,Medium,No,Not At All,North America
>42,24,fit,Other,Healthcare,Hybrid,Poor,High,Yes,Daily,Europe
22-32,57,ill,Female,IT,Hybrid,Poor,Low,Yes,Weekly,North America
32-42,48,fit,Other,Finance,Remote,Average,High,Yes,Weekly,Oceania
>42,26,fit,Female,Consulting,Hybrid,Poor,Medium,Yes,Weekly,Africa
32-42,21,ill,Female,Consulting,Remote,Good,High,Yes,Weekly,Europe
>42,45,ill,Other,Manufacturing,Hybrid,Poor,Low,No,Weekly,North America
32-42,59,ill,Other,Retail,Remote,Average,High,Yes,Weekly,Oceania
>42,44,ill,Female,Healthcare,Remote,Average,Low,No,Weekly,Africa
32-42,52,fit,Other,Education,Onsite,Good,Medium,No,Weekly,Africa
>42,37,ill,Other,Consulting,Onsite,Good,Low,Yes,Weekly,Europe
>42,36,ill,Other,IT,Remote,Good,High,No,Weekly,Oceania
>42,59,ill,Male,Consulting,Remote,Average,Medium,No,Daily,South America
22-32,21,ill,Female,Retail,Hybrid,Poor,Low,No,Weekly,South America
22-32,54,ill,Other,Education,Onsite,Poor,Medium,No,Daily,North America
>42,57,ill,Other,Finance,Onsite,Average,Low,Yes,Daily,Africa
>42,22,ill,Other,Consulting,Onsite,Poor,Low,No,Weekly,Asia
>42,54,ill,Male,Finance,Remote,Average,Low,No,Daily,North America
>42,21,ill,Male,Healthcare,Onsite,Good,High,No,Not At All,South America
32-42,24,fit,Other,Retail,Onsite,Poor,High,No,Not At All,North America
>42,56,ill,Female,Retail,Onsite,Poor,Low,No,Not At All,Oceania
>42,33,ill,Other,IT,Onsite,Poor,High,Yes,Daily,Europe
>42,25,ill,Male,Healthcare,Remote,Poor,High,Yes,Weekly,North America
22-32,20,ill,Female,IT,Onsite,Average,Low,Yes,Weekly,Asia
32-42,33,ill,Other,Manufacturing,Hybrid,Average,Medium,No,Not At All,North America
>42,20,ill,Other,Manufacturing,Remote,Good,Medium,Yes,Daily,North America
>42,26,ill,Male,Healthcare,Remote,Average,Medium,Yes,Daily,North America
32-42,22,ill,Male,IT,Hybrid,Average,Medium,No,Weekly,Europe
>42,57,fit,Other,Healthcare,Hybrid,Poor,Low,Yes,Not At All,Europe
>42,30,ill,Male,Finance,Onsite,Poor,Low,Yes,Not At All,Asia
22-32,47,fit,Female,Healthcare,Remote,Good,Low,Yes,Daily,Asia
22-32,48,ill,Other,IT,Onsite,Average,Low,Yes,Weekly,Africa
>42,20,fit,Male,Consulting,Hybrid,Poor,High,No,Weekly,Asia
22-32,44,ill,Other,IT,Remote,Poor,High,No,Daily,Europe
>42,29,fit,Male,IT,Onsite,Good,Low,No,Not At All,North America
>42,58,fit,Other,Finance,Remote,Poor,High,Yes,Weekly,Europe
>42,53,ill,Female,Manufacturing,Remote,Average,Medium,Yes,Not At All,Europe
>42,23,ill,Other,Retail,Remote,Good,High,Yes,Daily,South America
32-42,42,ill,Male,Retail,Remote,Poor,Medium,No,Daily,North America
32-42,35,ill,Male,Education,Remote,Good,Medium,Yes,Weekly,South America
22-32,39,fit,Female,Consulting,Remote,Good,High,No,Not At All,Oceania
22-32,29,fit,Female,Healthcare,Onsite,Poor,Low,No,Daily,Africa
32-42,37,ill,Male,Retail,Onsite,Average,Medium,No,Not At All,Europe
22-32,28,ill,Other,Manufacturing,Onsite,Good,High,Yes,Daily,Europe
>42,31,fit,Male,Consulting,Remote,Good,Low,No,Not At All,South America
>42,26,fit,Female,Retail,Onsite,Good,Medium,No,Daily,South America
>42,46,ill,Other,Healthcare,Onsite,Average,Medium,Yes,Not At All,Asia
22-32,55,ill,Female,Education,Hybrid,Poor,Medium,Yes,Daily,Asia
22-32,47,ill,Other,Education,Hybrid,Good,Low,No,Daily,Africa
>42,48,ill,Male,IT,Remote,Good,Low,Yes,Not At All,Asia
>42,49,fit,Other,IT,Onsite,Average,Low,No,Not At All,South America
22-32,51,fit,Other,Manufacturing,Remote,Average,Low,No,Daily,Oceania
22-32,57,fit,Other,IT,Remote,Poor,Medium,Yes,Daily,Oceania
22-32,33,ill,Other,Consulting,Hybrid,Good,Medium,Yes,Daily,Europe
32-42,30,ill,Female,IT,Remote,Good,Medium,Yes,Daily,North America
22-32,28,ill,Other,Finance,Hybrid,Poor,Medium,No,Not At All,Asia
22-32,31,ill,Female,Healthcare,Onsite,Good,Medium,Yes,Not At All,South America
>42,37,ill,Other,Healthcare,Hybrid,Good,Medium,No,Not At All,Oceania
>42,31,ill,Male,Finance,Remote,Poor,Medium,Yes,Weekly,Europe
>42,46,ill,Other,IT,Hybrid,Good,Medium,No,Daily,Oceania
>42,20,fit,Female,Education,Remote,Poor,High,Yes,Weekly,Oceania
32-42,51,ill,Female,Manufacturing,Onsite,Average,High,Yes,Daily,South America
